,Unnamed: 0,Date,DayofWeek,DayofMonth,Weekend,Month,Season,Quarter,Holiday,Salary,SaleInfo,Holiday_Salary
0,0,2022-01-01,0.8333333333333334,0.0,1,0.0,0.0,0.0,1,0,0.0,0.5
1,1,2022-01-02,1.0,0.0333333333333333,1,0.0,0.0,0.0,0,0,0.0,0.0
2,2,2022-01-03,0.0,0.0666666666666666,0,0.0,0.0,0.0,0,0,0.0,0.0
3,3,2022-01-04,0.1666666666666666,0.1,0,0.0,0.0,0.0,0,0,0.0,0.0
4,4,2022-01-05,0.3333333333333333,0.1333333333333333,0,0.0,0.0,0.0,0,0,0.0,0.0
5,5,2022-01-06,0.5,0.1666666666666666,0,0.0,0.0,0.0,0,0,0.0,0.0
6,6,2022-01-07,0.6666666666666666,0.2,0,0.0,0.0,0.0,0,0,0.0,0.0
7,7,2022-01-08,0.8333333333333334,0.2333333333333333,1,0.0,0.0,0.0,0,1,0.0,0.5
8,8,2022-01-09,1.0,0.2666666666666666,1,0.0,0.0,0.0,0,1,0.0,0.5
9,9,2022-01-10,0.0,0.3,0,0.0,0.0,0.0,0,1,0.0,0.5
10,10,2022-01-11,0.1666666666666666,0.3333333333333333,0,0.0,0.0,0.0,0,0,0.0,0.0
11,11,2022-01-12,0.3333333333333333,0.3666666666666666,0,0.0,0.0,0.0,0,0,0.0,0.0
12,12,2022-01-13,0.5,0.4,0,0.0,0.0,0.0,0,0,0.0,0.0
13,13,2022-01-14,0.6666666666666666,0.4333333333333333,0,0.0,0.0,0.0,0,0,0.0,0.0
14,14,2022-01-15,0.8333333333333334,0.4666666666666667,1,0.0,0.0,0.0,0,0,0.0,0.0
15,15,2022-01-16,1.0,0.5,1,0.0,0.0,0.0,0,0,0.0,0.0
16,16,2022-01-17,0.0,0.5333333333333333,0,0.0,0.0,0.0,0,0,0.0,0.0
17,17,2022-01-18,0.1666666666666666,0.5666666666666667,0,0.0,0.0,0.0,0,0,0.0,0.0
18,18,2022-01-19,0.3333333333333333,0.6,0,0.0,0.0,0.0,0,0,0.0,0.0
19,19,2022-01-20,0.5,0.6333333333333333,0,0.0,0.0,0.0,0,0,0.0,0.0
20,20,2022-01-21,0.6666666666666666,0.6666666666666666,0,0.0,0.0,0.0,0,0,0.0,0.0
21,21,2022-01-22,0.8333333333333334,0.7,1,0.0,0.0,0.0,0,0,0.0,0.0
22,22,2022-01-23,1.0,0.7333333333333333,1,0.0,0.0,0.0,0,1,0.0,0.5
23,23,2022-01-24,0.0,0.7666666666666667,0,0.0,0.0,0.0,0,1,0.0,0.5
24,24,2022-01-25,0.1666666666666666,0.8,0,0.0,0.0,0.0,0,1,1.0,0.5
25,25,2022-01-26,0.3333333333333333,0.8333333333333334,0,0.0,0.0,0.0,0,0,1.0,0.0
26,26,2022-01-27,0.5,0.8666666666666667,0,0.0,0.0,0.0,0,0,1.0,0.0
27,27,2022-01-28,0.6666666666666666,0.9,0,0.0,0.0,0.0,0,0,0.0,0.0
28,28,2022-01-29,0.8333333333333334,0.9333333333333332,1,0.0,0.0,0.0,0,0,0.0,0.0
29,29,2022-01-30,1.0,0.9666666666666668,1,0.0,0.0,0.0,0,0,0.0,0.0
30,30,2022-01-31,0.0,1.0,0,0.0,0.0,0.0,1,0,0.0,0.5
31,31,2022-02-01,0.1666666666666666,0.0,0,0.0909090909090909,0.0,0.0,1,0,0.0,0.5
32,32,2022-02-02,0.3333333333333333,0.037037037037037,0,0.0909090909090909,0.0,0.0,1,0,0.0,0.5
33,33,2022-02-03,0.5,0.074074074074074,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
34,34,2022-02-04,0.6666666666666666,0.1111111111111111,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
35,35,2022-02-05,0.8333333333333334,0.1481481481481481,1,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
36,36,2022-02-06,1.0,0.1851851851851851,1,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
37,37,2022-02-07,0.0,0.2222222222222222,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
38,38,2022-02-08,0.1666666666666666,0.2592592592592592,0,0.0909090909090909,0.0,0.0,0,1,0.0,0.5
39,39,2022-02-09,0.3333333333333333,0.2962962962962963,0,0.0909090909090909,0.0,0.0,0,1,0.0,0.5
40,40,2022-02-10,0.5,0.3333333333333333,0,0.0909090909090909,0.0,0.0,0,1,0.0,0.5
41,41,2022-02-11,0.6666666666666666,0.3703703703703703,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
42,42,2022-02-12,0.8333333333333334,0.4074074074074074,1,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
43,43,2022-02-13,1.0,0.4444444444444444,1,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
44,44,2022-02-14,0.0,0.4814814814814814,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
45,45,2022-02-15,0.1666666666666666,0.5185185185185185,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
46,46,2022-02-16,0.3333333333333333,0.5555555555555556,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
47,47,2022-02-17,0.5,0.5925925925925926,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
48,48,2022-02-18,0.6666666666666666,0.6296296296296297,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
49,49,2022-02-19,0.8333333333333334,0.6666666666666666,1,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
50,50,2022-02-20,1.0,0.7037037037037037,1,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
51,51,2022-02-21,0.0,0.7407407407407407,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
52,52,2022-02-22,0.1666666666666666,0.7777777777777778,0,0.0909090909090909,0.0,0.0,0,0,0.0,0.0
53,53,2022-02-23,0.3333333333333333,0.8148148148148148,0,0.0909090909090909,0.0,0.0,0,1,0.0,0.5
54,54,2022-02-24,0.5,0.8518518518518519,0,0.0909090909090909,0.0,0.0,0,1,0.0,0.5
55,55,2022-02-25,0.6666666666666666,0.8888888888888888,0,0.0909090909090909,0.0,0.0,0,1,1.0,0.5
56,56,2022-02-26,0.8333333333333334,0.925925925925926,1,0.0909090909090909,0.0,0.0,0,0,1.0,0.0
57,57,2022-02-27,1.0,0.9629629629629628,1,0.0909090909090909,0.0,0.0,0,0,1.0,0.0
58,58,2022-02-28,0.0,1.0,0,0.0909090909090909,0.0,0.0,0,0,1.0,0.0
59,59,2022-03-01,0.1666666666666666,0.0,0,0.1818181818181818,0.3333333333333333,0.0,1,0,1.0,0.5
60,60,2022-03-02,0.3333333333333333,0.0333333333333333,0,0.1818181818181818,0.3333333333333333,0.0,0,0,1.0,0.0
61,61,2022-03-03,0.5,0.0666666666666666,0,0.1818181818181818,0.3333333333333333,0.0,0,0,1.0,0.0
62,62,2022-03-04,0.6666666666666666,0.1,0,0.1818181818181818,0.3333333333333333,0.0,0,0,1.0,0.0
