ID,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15
SAMPLE_00000,1,1,2,4,0,1,1,1,2,2,4,2,3,3,4,1,4,3,0,1,1
SAMPLE_00001,0,1,2,2,2,1,2,1,1,2,2,1,1,1,1,1,3,2,2,2,2
SAMPLE_00002,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5
SAMPLE_00003,4,5,5,5,6,6,6,7,7,7,7,7,8,8,8,9,9,9,9,9,10
SAMPLE_00004,10,57,1,36,1,-13,46,3,30,-12,23,33,28,125,51,68,21,30,8,62,146
SAMPLE_00005,1,3,2,1,4,3,3,2,3,3,4,10,5,6,4,4,2,4,6,6,6
SAMPLE_00006,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
SAMPLE_00007,1,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3
SAMPLE_00008,14,18,21,21,23,24,24,26,27,28,28,29,30,30,32,33,35,34,35,35,37
SAMPLE_00009,14,19,21,22,24,25,26,27,29,29,30,30,32,32,34,35,36,36,37,36,39
SAMPLE_00010,64,83,95,97,107,110,112,119,127,129,129,132,138,139,147,151,160,159,162,160,169
SAMPLE_00011,6,8,9,9,10,10,10,11,12,12,12,12,13,13,14,14,15,15,15,15,16
SAMPLE_00012,4,5,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10
SAMPLE_00013,1,1,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3
SAMPLE_00014,54,73,78,81,89,92,95,105,111,110,110,110,116,115,123,130,133,133,135,132,143
SAMPLE_00015,26,34,39,40,43,44,45,48,52,55,55,56,58,58,61,62,66,67,66,66,69
SAMPLE_00016,45,60,65,66,74,78,83,86,92,92,93,94,100,102,106,112,115,115,115,115,123
SAMPLE_00017,-4,1,-4,-5,5,1,4,-5,1,-5,-6,5,-1,1,-7,-1,-3,-5,1,3,7
SAMPLE_00018,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMPLE_00019,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
SAMPLE_00020,39,18,24,20,18,18,24,65,45,40,33,27,22,10,36,25,23,28,22,33,33
SAMPLE_00021,16,10,12,12,12,4,14,24,25,9,7,15,11,12,25,14,11,10,11,7,7
SAMPLE_00022,5,13,17,20,15,14,14,18,25,28,25,19,19,20,18,20,21,23,22,20,27
SAMPLE_00023,6,7,10,10,9,12,12,15,11,12,15,7,13,12,17,16,18,22,16,17,16
SAMPLE_00024,57,2,22,33,53,20,20,89,58,65,51,62,48,90,138,97,96,85,93,36,35
SAMPLE_00025,218,171,150,163,182,71,94,156,207,262,228,199,85,118,257,221,226,192,194,101,183
SAMPLE_00026,1,0,11,15,14,8,12,8,9,9,15,7,12,14,6,8,16,20,21,14,17
SAMPLE_00027,8,7,7,12,17,10,10,15,15,12,12,10,6,11,14,8,12,13,15,7,7
SAMPLE_00028,4,9,6,17,10,0,-2,19,25,19,17,6,4,5,11,17,11,21,12,-2,10
SAMPLE_00029,17,15,28,41,25,14,30,35,30,25,35,12,2,24,25,17,25,37,14,12,31
SAMPLE_00030,1,3,5,-3,3,4,2,3,2,4,0,8,9,3,0,2,6,5,10,14,8
SAMPLE_00031,10,9,9,3,8,12,7,14,6,5,11,12,7,7,14,9,-2,-8,-1,20,18
SAMPLE_00032,14,15,20,17,23,20,21,21,24,24,17,23,21,22,27,26,30,25,33,26,25
SAMPLE_00033,2,3,4,4,4,4,4,5,5,5,5,5,6,5,6,6,6,6,6,6,7
SAMPLE_00034,21,3,14,7,1,16,4,25,2,9,3,3,32,29,35,32,36,18,12,7,9
SAMPLE_00035,11,13,16,16,11,12,20,24,27,24,22,16,26,25,25,23,25,27,22,19,30
SAMPLE_00036,87,84,69,59,41,48,91,101,86,68,56,66,84,109,90,68,57,68,69,72,102
SAMPLE_00037,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMPLE_00038,5,7,8,8,9,9,10,10,11,11,11,11,12,12,13,13,14,14,14,14,15
SAMPLE_00039,1,2,2,3,2,3,2,3,3,4,4,3,3,3,4,3,3,4,3,4,4
SAMPLE_00040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMPLE_00041,3,4,3,4,4,4,5,3,4,4,3,3,3,5,5,5,5,5,5,4,5
SAMPLE_00042,3,4,6,4,6,5,5,6,6,7,7,7,7,6,6,7,8,9,9,8,8
SAMPLE_00043,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
SAMPLE_00044,22,26,22,15,66,47,16,7,22,35,57,74,67,43,49,47,35,31,67,87,67
SAMPLE_00045,5,5,9,10,11,13,12,10,10,13,8,5,6,9,10,10,14,13,12,13,16
SAMPLE_00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00047,1,1,1,0,0,1,2,3,3,2,1,1,1,3,3,1,1,1,0,1,1
SAMPLE_00048,7,4,5,5,5,5,8,12,6,8,8,5,7,10,10,5,8,8,6,6,10
SAMPLE_00049,-1,0,-2,-4,-1,1,2,-1,2,1,0,3,5,5,3,6,4,2,2,4,2
SAMPLE_00050,1,4,4,3,6,3,7,5,7,7,5,5,3,8,4,5,7,5,7,7,11
SAMPLE_00051,157,255,164,217,191,208,182,267,362,211,262,250,178,122,79,206,119,169,141,286,161
SAMPLE_00052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
SAMPLE_00053,3,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7
SAMPLE_00054,33,44,50,53,57,60,60,64,71,73,74,74,77,76,78,79,85,87,89,89,94
SAMPLE_00055,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
SAMPLE_00056,2,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,6,5,6,6,6
SAMPLE_00057,-4,-8,14,38,61,57,33,19,18,29,17,6,7,7,3,-6,6,25,43,35,27
SAMPLE_00058,1,0,1,0,1,0,2,3,3,3,3,4,4,4,5,3,5,4,3,3,2
SAMPLE_00059,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMPLE_00060,17,22,34,20,25,22,29,45,63,62,35,21,29,36,37,49,57,56,48,46,49
SAMPLE_00061,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2
SAMPLE_00062,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
SAMPLE_00063,10,10,13,14,12,14,14,20,18,20,19,18,20,18,20,19,22,22,21,20,23
SAMPLE_00064,-8,-23,24,-6,-7,-7,14,34,25,77,24,8,3,6,-17,-8,51,13,19,3,35
SAMPLE_00065,11,7,13,12,23,5,9,16,20,15,17,6,23,4,5,19,23,18,30,13,15
SAMPLE_00066,3,5,7,8,11,8,6,8,8,8,6,10,8,7,8,10,11,10,12,7,6
SAMPLE_00067,2,3,1,2,1,2,2,2,4,3,3,2,3,2,3,4,3,3,3,3,4
SAMPLE_00068,2,2,4,4,4,3,4,4,5,5,5,4,5,5,4,4,6,6,6,6,6
SAMPLE_00069,3,3,3,2,2,5,2,2,2,3,4,1,5,4,5,5,5,4,4,5,5
SAMPLE_00070,19,29,32,31,34,35,36,41,45,45,43,43,45,45,46,50,51,51,51,50,55
SAMPLE_00071,10,11,2,3,6,2,11,8,17,20,19,16,9,11,11,12,8,1,4,12,15
SAMPLE_00072,0,2,2,2,1,0,0,0,4,4,3,2,2,2,3,5,7,4,3,1,0
SAMPLE_00073,0,-1,-1,2,3,2,4,3,5,7,9,10,7,6,4,8,7,6,5,6,6
SAMPLE_00074,14,76,27,8,39,-23,-8,22,67,27,-3,7,-22,6,13,52,13,26,33,19,25
SAMPLE_00075,8,10,12,12,13,13,14,15,15,16,16,16,17,17,18,18,19,19,20,20,21
SAMPLE_00076,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMPLE_00077,13,11,14,12,11,11,15,26,31,18,11,14,11,24,38,30,21,14,15,6,20
SAMPLE_00078,17,16,21,26,-2,6,12,14,21,29,26,3,3,13,25,32,34,40,18,14,25
SAMPLE_00079,-9,-3,-2,-5,-5,4,7,-2,3,5,5,3,6,5,3,16,18,5,8,6,7
SAMPLE_00080,284,393,401,400,310,266,377,478,424,251,347,234,207,340,478,372,407,493,97,172,287
SAMPLE_00081,53,56,65,54,58,70,76,92,76,81,73,76,90,103,112,97,116,102,99,105,109
SAMPLE_00082,11,5,6,12,7,5,10,11,6,8,12,1,-6,-2,9,7,7,14,12,4,16
SAMPLE_00083,241,526,463,696,397,305,488,450,435,156,521,319,360,646,625,428,401,629,334,342,496
SAMPLE_00084,77,109,128,127,133,130,130,172,187,186,168,167,170,178,189,196,197,208,206,193,204
SAMPLE_00085,616,250,826,412,751,57,461,981,606,1085,754,1007,92,501,470,-203,234,247,546,236,558
SAMPLE_00086,236,359,300,387,191,137,328,388,379,195,319,121,86,310,452,482,429,525,104,96,295
SAMPLE_00087,47,64,64,70,63,68,74,97,112,97,87,80,93,101,108,117,122,108,104,85,108
SAMPLE_00088,2,2,2,2,1,2,4,4,4,4,3,2,2,3,4,4,5,4,3,4,4
SAMPLE_00089,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
SAMPLE_00090,9,1,10,-2,3,8,15,20,7,13,-6,-2,-11,6,17,6,17,4,2,3,8
SAMPLE_00091,10,13,15,15,17,17,18,19,20,20,21,21,22,22,23,24,25,25,26,25,27
SAMPLE_00092,2,15,14,12,7,6,15,13,21,10,8,13,11,20,16,22,22,21,14,14,17
SAMPLE_00093,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
SAMPLE_00094,6,6,-2,-2,4,10,30,25,22,20,26,27,8,14,9,2,-13,-1,-11,-11,16
SAMPLE_00095,4,2,7,3,7,3,9,15,9,9,5,9,9,10,9,6,10,9,12,9,8
SAMPLE_00096,183,50,144,101,61,-64,21,197,102,114,119,104,21,85,141,13,42,34,96,-12,61
SAMPLE_00097,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5
SAMPLE_00098,8,10,12,12,13,13,14,15,15,16,16,16,17,17,18,18,19,19,20,20,21
SAMPLE_00099,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
SAMPLE_00100,640,395,747,418,463,76,485,971,720,963,636,575,73,342,528,3,436,343,472,14,290
SAMPLE_00101,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
SAMPLE_00102,1,3,3,3,3,1,2,2,3,2,3,3,2,1,3,3,3,5,6,3,4
SAMPLE_00103,0,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,1
