ID,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15
SAMPLE_00000,2.0,3.0,5.0,6.0,2.0,3.0,3.0,4.0,8.0,6.0,8.0,5.0,6.0,7.0,7.0,5.0,8.0,7.0,5.0,5.0,5.0
SAMPLE_00001,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
SAMPLE_00002,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
SAMPLE_00003,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
SAMPLE_00004,28.0,62.0,26.0,47.0,26.0,42.0,79.0,51.0,89.0,62.0,79.0,81.0,96.0,161.0,97.0,102.0,65.0,79.0,54.0,92.0,192.0
SAMPLE_00005,2.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,7.0,6.0,7.0,11.0,8.0,8.0,8.0,8.0,6.0,7.0,9.0,9.0,9.0
SAMPLE_00006,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SAMPLE_00007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SAMPLE_00008,8.0,11.0,13.0,13.0,14.0,14.0,14.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,19.0,20.0,21.0,20.0,21.0,21.0,22.0
SAMPLE_00009,8.0,11.0,13.0,13.0,14.0,15.0,16.0,16.0,17.0,17.0,18.0,18.0,19.0,19.0,20.0,21.0,22.0,22.0,22.0,22.0,23.0
