ID,제품,대분류,중분류,소분류,브랜드,쇼핑몰,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,2022-09-01,2022-09-02,2022-09-03,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-24,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-15,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24
SAMPLE_00000,B002-00001-00001,B002-C001-0002,B002-C002-0007,B002-C003-0038,B002-00001,S001-00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,4,4,4,2,0,0,0,0,0,0,0,2,2,2,2,4,6,6,2,2,6,12,12,0,4,4,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,10,22,4,0,0,0,0,0,2,4,0,0,0,0,0,4,4,4,10,4,0,2,2,0,0,8,0,2,0,0,0,2,0,2,2,2,2,6,0,0,2,2,2,14,0,10,0,0,0,2,2,4,2,0,0,0,4,0,10,4,0,0,10,0,8,0,4,0,10,10,0,6,12,8,6,0,2,0,6,10,0,6,0,0,10,10,10,12,12,4,4,14,4,8,12,0,8,0,2,4,4,12,4,0,0,2,4,14,6,0,8,4,14,0,0,12,0,14,12,12,22,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00001,B002-00002-00001,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,S001-00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,8,8,2,8,12,18,12,10,0,0,4,6,6,4,2,2,2,2,2,2,6,10,8,6,6,4,10,14,12,14,12,10,6,8,8,10,10,10,10,10,10,14,14,8,8,6,10,6,8,10,10,6,4,6,6,2,0,2,4,4,4,6,4,6,4,6,4,2,6,6,10,10,8,2,2,4,4,4,4,2,4,4,2,4,8,4,2,4,4,6,12,6,6,4,6,8,10,10,10,10,10,6,6,4,10,10,6,8,4,4,2,6,6,6,2,6,2,4,10,4,4,4,2,4,4,4,4,4,4,4,6,6,8,8,6,2,4,2,4,2,4,2,4,4,4,6,2,0,4,2,2,2,2,2,4,2,2,2,2,4,4,4,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,4,4,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,6,6,6,6,4,4,4,6,2,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,4,4,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,0,0,4,0,0,4,4,0,0,0,2,2,1,0,2,0,2,0,2,2,1,0,0,0
SAMPLE_00002,B002-00002-00002,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,S001-00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,6,6,4,4,4,8,8,6,10,10,4,2,2,4,4,6,8,10,10,10,8,8,2,2,4,8,8,6,6,8,6,6,4,6,6,6,4,2,2,4,66,66,74,78,20,10,4,6,6,6,6,6,4,2,2,4,4,4,4,4,6,6,6,8,8,8,10,8,2,4,6,8,10,10,8,6,6,6,4,10,10,14,8,6,6,4,10,12,14,12,8,6,2,4,2,10,12,8,6,12,12,16,16,16,14,14,12,12,14,8,12,14,16,10,12,12,14,12,6,6,8,4,6,8,4,10,10,10,14,20,20,14,12,8,6,6,8,10,4,4,6,10,14,8,6,6,6,8,16,16,16,14,10,8,12,12,12,10,16,16,14,8,6,8,6,8,6,6,6,6,6,6,6,8,8,4,4,2,4,4,4,4,6,4,4,4,4,4,0,0,0,0,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2,6,6,4,0,2,6,6,2,2,2,2,2,6,8,6,4,2,2,0,2,4,6,6,2,0,2,4,6,8,6,4,0,2,4,4,2,2,0,0,0,0,0,2,2,2,0,0,0,0,2,4,4,4,4,6,4,2,2,2,2,2,4,4,4,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,4,4,4,0,2,2,2,2,2,2,2,4,4,4,4,2,2,2,4,2,2,4,6,4,4,2,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00003,B002-00002-00003,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,S001-00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,64,80,80,20,12,14,14,14,10,16,18,16,10,6,8,10,10,10,12,12,12,6,4,4,6,4,8,10,10,6,12,12,10,10,8,8,8,8,14,14,14,12,8,6,6,6,6,6,6,6,8,8,10,14,12,10,8,6,8,6,4,6,8,8,10,10,12,150,150,156,158,24,14,10,10,8,8,6,6,6,6,6,8,8,8,4,4,6,8,8,10,14,14,16,12,8,8,4,6,8,10,12,12,12,8,6,6,8,8,10,12,10,12,10,12,12,12,12,12,8,12,12,14,16,16,14,12,22,22,22,10,14,14,14,14,14,18,20,16,12,12,14,16,14,12,8,8,8,10,14,12,8,10,8,12,16,18,14,12,22,22,24,22,14,14,12,12,8,4,4,4,6,8,8,8,8,8,8,8,8,8,8,6,6,8,12,10,6,4,4,6,6,6,8,8,6,6,6,6,4,2,12,12,14,6,4,4,2,2,4,4,4,6,4,4,2,2,4,4,4,2,0,0,0,0,2,2,4,8,10,4,4,2,2,0,0,0,0,0,0,0,8,8,8,6,6,6,6,6,10,10,8,4,0,4,6,6,2,2,4,6,6,4,2,4,4,2,0,2,2,2,2,2,0,0,2,4,6,4,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00004,B002-00002-00004,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,S001-00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,72,72,72,216,568,8,16,8,8,0,32,24,8,0,8,16,24,0,8,0,0,8,0,8,0,144,272,528,136,424,160,32,176,280,136,112,120,128,64,72,88,16,40,16,56,16,8,16,24,32,8,16,16,56,32,48,120,152,128,8,24,8,4,16,4,10,6,4,4,4,0,0,0,0,8
SAMPLE_00005,B002-00003-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,10,10,8,0,6,4,6,14,0,0,0,10,44,18,16,18,8,4,6,8,6,24,24,34,20,2,4,4,6,6,8,18,10,2,10,4,6,6,16,18,2,2,4,4,4,0,0,0,0,6,74,60,42,42,26,24,2,10,10,18,18,16,10,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,12,0,6,6,0,0,10,12,10,6,0,2,8,12,6,6,4,32,20,36,10,80,90,70,8,2,8,24,20,44,28,20,16,18,30,80,70,28,20,0,0,0,0,10,10,10,10,12,10,24,92,90,90,0,22,12,4,0,6,4,0,0,0,0,4,0,0,2,6,12,0,8,0,0,2,2,18,0,6,0,0,16,16,4,0,24,28,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,14,0,0,0,16,0,0,0,0,14,0,14,0,0,0,0,0,26,0,10,2,24,16,0,20,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00006,B002-00003-00002,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,6,4,2,4,30,30,28,30,14,12,6,0,6,14,16,8,6,6,8,12,12,16,22,12,16,8,8,14,16,34,16,16,4,12,12,10,4,6,8,8,8,10,0,0,0,10,14,12,24,24,30,16,10,4,4,0,2,6,4,6,20,26,22,8,6,4,4,2,10,14,6,6,4,4,4,4,4,6,4,10,10,12,14,14,8,8,2,6,8,16,24,22,14,12,8,8,4,12,14,20,16,14,6,10,12,4,4,4,4,10,10,8,8,22,22,32,12,12,2,2,2,6,6,10,10,8,8,2,2,0,2,4,4,2,2,2,2,2,2,2,0,0,4,6,6,2,6,10,14,8,4,0,2,2,0,0,0,2,2,16,20,20,12,10,10,4,22,26,34,16,14,6,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6,6,6,0,2,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,8,8,6,4,4,4,0,0,0,0,0,0,0,0,0,2,2,14,18,18,24,24,26,2,14,18,12,12,8,4,6,2,2,2,6,6,6,0,2,8,8,6,6,4,4,22,22,0,0,0,0,0,0,2,2,2,2,2,4,4,10,8,8,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00007,B002-00003-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00001,0,0,0,14,42,32,36,38,42,36,38,42,50,38,36,32,24,14,14,24,40,44,34,14,2,8,14,12,0,0,12,14,18,2,16,14,18,4,8,8,10,8,6,14,8,0,0,10,16,26,20,12,8,18,30,48,30,18,12,8,8,8,4,16,20,26,20,24,18,10,6,8,4,12,20,32,26,18,28,32,36,28,28,16,10,16,20,42,32,30,8,14,16,16,14,14,10,12,12,18,18,14,6,6,8,18,26,26,38,40,42,24,24,18,12,14,8,26,24,24,18,14,16,20,22,16,4,6,6,6,6,6,0,0,0,6,6,6,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00008,B002-00003-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00002,18,12,0,6,40,24,42,54,6,6,6,278,602,22,28,6,10,12,30,132,502,66,126,268,462,400,342,156,112,78,42,36,60,24,36,6,24,54,60,30,30,120,114,6,36,30,48,44,26,0,24,24,24,24,24,42,30,12,24,42,36,18,6,24,36,32,26,56,44,4,4,6,2,0,0,54,54,0,36,54,0,18,36,54,6,0,18,18,12,0,6,6,24,24,108,36,24,18,48,12,6,0,6,24,54,0,0,0,24,12,18,12,30,0,0,6,6,18,12,12,6,12,18,12,24,26,12,0,18,6,0,6,0,6,6,28,28,28,10,22,18,30,12,36,12,10,4,0,0,0,0,6,0,0,0,2,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,20,0,0,0,0,0,0,0,20,0,0,0,2,22,2,2,2,0,20,0,0,0,0,0,0,0,0,6,0,26,6,26,6,6,12,12,0,0,20,6,0,6,6,6,0,6,12,18,12,18,56,36,42,42,30,6,18,42,30,42,36,42,60,60,78,90,54,60,6,24,36,58,34,18,0,6,8,8,0,18,60,30,24,12,30,6,0,60,50,2,8,50,74,74,42,36,30,20,48,20,8,28,0,20,0,12,30,50,60,0,28,12,0,22,6,26,18,0,0,12,42,96,198,90,150,150,138,198,150,72,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00009,B002-00003-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,S001-00003,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,16,18,18,18,18,8,14,22,14,6,18,12,0,0,0,0,0,0,36,0,12,0,0,0,0,0,0,0,0,12,0,0,0,92,92,104,102,102,102,102,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,12,30,54,20,0,0,0,10,0,34,82,82,92,104,126,166,414,94,226,438,142,116,100,60,58,12,58,22,80,590,140,66,88,70,20,90,24,82,44,12,24,0,216,0,132,168,0,636,216,132,24,240,60,96,144,48,36,0,0,0,8,12,12,12,22,60,210,24,36,24,24,0,0,10,10,10,10,10,10,20,30,0,0,10,0,0,0,0,0,0,0,0,20,20,20,20,20,0,68,8,0,0,0,22,12,12,12,12,12,0,0,0,0,0,12,12,0,0,0,0,0,0,16,16,16,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
