,Unnamed: 0,ID,제품,대분류,중분류,소분류,브랜드,키워드평균,키워드순위,판매량평균,판매량순위,가격평균,ZScore_대분류,ZScore_중분류,NormalizedPrice_대분류,NormalizedPrice_중분류,제품수,제품수순위
0,0,0,B002-00001-00001,B002-C001-0002,B002-C002-0007,B002-C003-0038,B002-00001,0.7097785403050109,1402.0,0.7472766884531591,2158.0,5856.896551724138,-0.2723769229230776,-0.6026103880077004,0.0110033869344902,0.0371159477295572,1.0,1676.0
1,1,1,B002-00002-00001,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,11.609882091503268,257.0,2.333333333333333,1486.0,23808.74493927125,0.0212745671677327,0.0023434478841648,0.0737938264229847,0.0737938264229847,3.0,869.0
2,2,2,B002-00002-00002,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,11.609882091503268,257.0,2.333333333333333,1486.0,12058.598993288591,-0.2555771145104265,-0.2646629540038577,0.037374929391904,0.037374929391904,3.0,869.0
3,3,3,B002-00002-00003,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00002,11.609882091503268,257.0,2.333333333333333,1486.0,4010.9195402298847,-0.4451929371928521,-0.4475357407920113,0.0124316128843934,0.0124316128843934,3.0,869.0
4,4,4,B002-00003-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,5056.881565907876,-0.7196761193556666,-0.7129622024742156,0.0068089519723059,0.0068089519723059,12.0,287.0
5,5,5,B002-00003-00002,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,8311.268085106383,-0.6213979645620408,-0.6163589826239053,0.0111908939299607,0.0111908939299607,12.0,287.0
6,6,6,B002-00003-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,7339.268136695864,-0.6507510733048866,-0.645211832203038,0.0098821227278764,0.0098821227278764,12.0,287.0
7,7,7,B002-00003-00004,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,12113.775857147668,-0.5065672752078226,-0.5034853297501574,0.0163108660821068,0.0163108660821068,12.0,287.0
8,8,8,B002-00003-00005,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,5187.301587301588,-0.7157376077575187,-0.7090908141418052,0.0069845589447697,0.0069845589447697,12.0,287.0
9,9,9,B002-00003-00006,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,16483.326146279996,-0.3746126542184141,-0.3737795849844756,0.0221943453907499,0.0221943453907499,12.0,287.0
10,10,10,B002-00003-00007,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,21817.72547560691,-0.213520872426091,-0.2154332582220268,0.0293769674002031,0.0293769674002031,12.0,287.0
11,11,11,B002-00003-00008,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.73`29113071895426,1375.0,3.0655410312273053,1268.0,3885.714285714286,-0.7550438172529779,-0.7477271357673559,0.0052320074347601,0.0052320074347601,12.0,287.0
12,12,12,B002-00003-00009,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,64068.62863327149,1.062400342280174,1.0387426863179752,0.0862666466694546,0.0862666466694546,12.0,287.0
13,13,13,B002-00003-00011,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,11844.380478530478,-0.5147026581945209,-0.5114820630311271,0.0159481326127426,0.0159481326127426,12.0,287.0
14,14,14,B002-00003-00014,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,8633.333333333334,-0.6116720213981995,-0.6067987967648897,0.0116245459304169,0.0116245459304169,12.0,287.0
15,15,15,B002-00003-00015,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,0.7329113071895426,1375.0,3.0655410312273053,1268.0,31750.0,0.0864206395617018,0.0793964105445107,0.0427505019255681,0.0427505019255681,12.0,287.0
16,16,16,B002-00005-00001,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,2800.0,-0.4015045381544798,-0.4381749663107316,0.0052603769153995,0.0052603769153995,12.0,287.0
17,17,17,B002-00005-00002,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,2609.976692640378,-0.4095313902584191,-0.4420544880410861,0.0049033789798915,0.0049033789798915,12.0,287.0
18,18,18,B002-00005-00003,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,5397.751166199728,-0.2917718706009211,-0.3851391980180928,0.0101407877249099,0.0101407877249099,12.0,287.0
19,19,19,B002-00005-00004,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,3927.214285714286,-0.3538894193219635,-0.415161724530245,0.0073780812037137,0.0073780812037137,12.0,287.0
20,20,20,B002-00005-00005,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,2622.114497354497,-0.4090186722941836,-0.4418066822439893,0.004926182346935,0.004926182346935,12.0,287.0
21,21,21,B002-00005-00006,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,3400.0,-0.3761596932021234,-0.4259253477215365,0.0063876005401279,0.0063876005401279,12.0,287.0
22,22,22,B002-00005-00007,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,21000.0,0.3672890920669989,-0.0666032024384821,0.0394528268654963,0.0394528268654963,12.0,287.0
23,23,23,B002-00005-00008,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,3890.5882352941176,-0.3554365552704908,-0.4159094831103712,0.0073092716215236,0.0073092716215236,12.0,287.0
24,24,24,B002-00005-00009,B002-C001-0002,B002-C002-0007,B002-C003-0039,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,1600.0,-0.4521942280591927,-0.885811250603727,0.0030059296659425,0.0101394169835234,12.0,287.0
25,25,25,B002-00005-00011,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,24125.641025641027,0.4993205706863259,0.5902214038798816,0.0453249875430348,0.0748896057424126,12.0,287.0
26,26,26,B002-00005-00012,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,1100.0,-0.4733149321861564,-0.4728822189801175,0.0020665766453355,0.0020665766453355,12.0,287.0
27,27,27,B002-00005-00014,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,1.8790878431372549,881.0,3.706063907044299,1124.0,2970.0,-0.3943234987513122,-0.4347042410437929,0.0055797569424059,0.0055797569424059,12.0,287.0
