ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,1,2,2,1,2,3,3,2,2,2,1,2,2,3,2,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,3,4,1,1,0,2,4,3,5,2,2,2,3,4,4,7,5,4,3
5,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,7,7,9,10,8,7,7,11,12,14,14,10,12,10,13,12,12,13,10,12,11
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,7,7,6,6,6,7,5,5,7,6,7,7,8,6,6,7,6,7,7,8
15,5,5,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4
16,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
17,7,10,11,5,5,6,6,10,12,12,8,7,7,6,9,11,10,6,6,8,6
18,5,7,9,8,10,12,11,15,18,16,15,9,11,10,14,17,16,16,14,16,14
19,2,5,7,9,9,5,5,6,5,6,6,7,5,5,6,8,12,15,16,11,9
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
29,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2
30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,7,6,7,7,7,7,5,6,6,8,7,6,7,6,8,7,7,6,5,6,4
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,4,7,7,8,7,7,7,5,5,6,7,7,6,6,6,7,9,8,7,7
36,-1,0,1,3,1,3,5,5,6,4,7,4,5,6,5,5,4,6,3,4,4
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,2,3,3,4,3,2,3,4,5,5,5,4,3,4,5,6,6,6,5,4
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,25,27,42,43,41,36,30,48,41,46,49,50,39,34,45,41,39,50,52,50,46
43,13,22,42,42,36,23,19,26,36,48,48,39,33,31,36,43,46,49,41,38,28
44,0,6,26,25,24,16,23,12,13,20,23,17,15,27,26,30,42,39,35,27,36
45,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2
46,0,1,2,2,2,2,2,1,2,2,2,2,2,3,2,2,3,2,3,2,3
47,38,44,45,29,34,36,41,55,65,58,45,48,60,64,71,73,66,49,45,50,51
48,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6,6,6,5,5,5,5,6,7,7,6,7,6,6,6,6,5,5,5,5,6
51,9,9,7,7,6,6,6,6,7,7,7,9,10,10,9,8,6,7,7,10,9
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,2,3,2,2,3,4,4,3,3,2,3,2,4,4,4,4,3,4,3,4
54,12,8,6,7,7,8,7,9,5,6,6,7,7,6,9,6,8,8,8,7,7
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,2
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,4,4,4,4,4,3,4,5,6,6,7,7,5,5,6,6,5,6,6,6,7
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6,5,3,4,3,4,4,4,5,4,4,4,4,4,5,5,5,5,4,4,4
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,16,18,15,12,11,12,14,18,18,16,13,13,15,17,21,22,18,14,11,14,17
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
101,1,1,2,2,3,4,4,3,2,3,3,4,5,6,5,3,3,3,3,4,5
102,1,2,2,3,3,3,4,4,3,2,4,3,3,4,4,4,4,4,3,3,4
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,31,25,20,20,17,21,26,33,25,22,26,20,27,29,33,23,23,33,28,25,23
111,3,3,4,4,5,5,4,5,4,4,3,4,3,3,5,4,4,4,4,4,4
112,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,4,3,2,2,2,3,3,2,3,2,3,3,3,3,3,3,2,2,2,3,3
115,0,1,2,2,3,3,2,2,3,4,4,4,4,2,2,2,3,3,3,3,2
116,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3
117,21,20,13,10,12,14,16,16,16,14,13,14,15,16,17,18,15,11,11,13,14
118,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2
119,10,9,8,8,8,9,8,9,8,8,8,9,10,9,9,7,7,8,8,8,7
120,12,11,8,7,7,8,9,9,10,9,8,8,9,10,11,10,8,7,6,7,8
121,1,2,2,2,2,2,2,3,4,4,4,3,2,3,3,4,3,3,3,3,3
122,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2
123,3,3,3,3,3,3,2,3,3,4,4,4,3,3,3,4,4,4,4,3,3
124,10,8,7,7,6,7,6,7,7,7,7,6,8,9,10,9,9,8,7,8,7
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,3,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1
129,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1
130,2,2,2,3,2,2,1,1,1,2,2,2,1,2,3,3,4,3,4,2,2
131,3,3,4,4,3,3,2,3,2,3,4,3,3,3,4,4,6,6,4,4,4
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,8,7,7,6,7,7,7,7,7,7,6,7,7,6,7,7,6,6,6,6,6
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,8,8,7,7,6,7,8,9,9,9,9,7,8,9,10,10,9,8,7,7,7
136,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
139,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1
140,0,2,3,6,7,8,7,11,7,3,5,6,8,12,14,10,9,10,12,11,8
141,19,17,21,26,23,26,20,25,21,24,27,27,34,32,34,29,27,27,22,26,20
142,6,8,9,10,11,11,9,10,10,10,10,10,10,9,9,10,11,9,9,11,11
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,3,2,2,1
145,-25,60,109,135,78,144,144,136,206,249,257,179,211,214,178,203,215,202,124,158,164
146,55,70,74,69,80,83,79,107,118,123,116,114,104,109,128,120,111,96,104,91,92
147,6,5,4,4,4,4,5,6,7,5,5,3,3,5,5,6,5,5,4,4,5
148,4,6,6,8,7,8,8,7,7,7,8,8,9,8,8,8,8,9,8,9,8
149,7,5,5,4,5,5,4,5,5,5,5,5,6,6,5,4,4,5,5,6,6
150,8,12,9,9,12,20,21,28,25,15,12,10,13,11,18,16,12,10,10,16,13
151,12,17,21,21,13,17,20,37,46,54,54,38,37,39,45,45,36,36,23,28,23
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
156,14,24,32,33,31,35,33,32,39,49,53,50,53,46,40,39,46,46,40,40,39
157,0,0,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1
158,2,3,4,4,4,4,4,4,6,7,7,6,6,5,5,6,6,6,5,5,5
159,81,76,67,59,63,64,65,73,81,89,88,92,92,83,84,80,77,72,65,59,56
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,63,53,35,36,41,38,41,45,44,38,36,40,32,27,35,35,30,30,32,22,18
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
164,30,39,41,48,35,39,45,67,78,81,75,51,50,57,72,76,62,61,41,45,48
165,2,4,5,6,4,4,5,8,9,10,10,8,8,9,8,8,7,7,5,6,6
166,4,5,9,8,7,6,4,8,7,8,6,5,4,4,7,6,7,7,7,6,5
167,5,9,13,12,12,10,10,12,14,15,12,10,10,11,12,15,16,15,12,10,10
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,3,5,6,5,4,5,6,7,8,8,7,6,6,7,8,8,9,8,6,6,7
170,6,10,13,14,13,13,14,17,20,19,20,18,17,17,19,20,19,19,17,17,15
171,4,5,4,4,3,3,3,4,4,5,5,4,4,4,5,6,7,6,5,4,4
172,17,27,26,25,28,34,31,33,42,48,61,53,60,56,55,53,46,38,30,40,34
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
185,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,3,3,5,6,5,4,3,4,5,6,6,5,4,4,5,5,5,5,4,4,4
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,10,11,10,10,10,10,11,12,12,11,11,10,11,11,12,11,11,12,12,11,11
199,2,2,2,1,1,2,2,3,3,2,2,2,3,3,4,4,3,3,2,3,3
200,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,3,3,2,2,1,2
201,1,1,2,2,1,1,1,2,2,2,2,3,2,2,1,1,1,2,2,2,2
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,3,7,9,7,6,7,9,12,16,18,16,11,10,12,15,17,15,11,8,9,10
204,0,1,3,3,3,2,2,2,3,5,6,5,5,4,3,3,4,4,3,2,3
205,15,22,21,19,16,18,20,22,27,25,24,20,23,23,28,32,30,27,23,26,26
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,10,13,14,14,15,12,13,15,18,16,15,15,15,15,14,15,13,13,12,13,10
208,26,23,17,17,15,16,19,22,22,19,17,15,16,18,22,20,18,17,15,15,15
209,13,13,13,11,9,8,8,10,10,11,10,8,8,10,12,12,12,11,10,8,8
210,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
211,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
212,7,7,7,6,6,6,6,7,8,8,7,7,6,6,6,6,6,6,5,5,5
213,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
214,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,-1,2,3,5,5,5,5,4,5,4,6,6,6,5,5,6,6,6,7,6,6
221,24,24,22,22,21,19,19,21,21,18,19,18,19,19,21,22,21,25,25,23,19
222,4,6,6,5,5,9,9,12,12,9,8,7,10,11,12,12,11,11,10,11,10
223,7,8,7,5,5,6,8,9,9,8,7,8,7,8,8,10,10,8,6,5,6
224,47,55,50,47,48,44,42,40,56,59,59,60,59,58,55,66,60,53,54,52,55
225,40,34,29,27,29,29,31,31,30,30,28,24,27,32,35,32,30,26,23,27,29
226,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
227,0,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,3,3,2
228,25,20,18,17,16,16,17,18,18,16,16,14,16,18,19,17,16,16,14,15,17
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,1,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
232,1,2,2,2,2,2,2,3,3,2,3,2,3,3,3,3,2,2,2,3,3
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,5,5,6,4,4,3,4,6,7,7,5,4,4,5,5,6,6,5,5,4,3
235,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,0,1,1
236,2,2,2,2,2,2,3,3,4,2,2,2,3,4,4,4,2,2,3,4,4
237,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,4,5,5,2,2,3,2,4,3,5,4,3,3,2,4,4,5,5,4,4,2
242,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2
243,17,24,30,29,28,25,24,28,31,29,25,22,23,26,27,30,32,31,27,26,26
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,1,1,1,2,2,1,1,2,2,2,3,2,2,2,2,2,2,3,3,3,3
247,9,9,7,6,7,8,8,7,8,7,6,6,8,8,9,10,8,8,7,9,9
248,71,68,37,48,27,34,47,65,55,29,42,33,37,57,69,65,38,62,47,53,44
249,4,7,8,8,8,10,11,12,12,11,12,10,9,11,12,13,13,12,10,12,15
250,2,4,4,4,5,6,7,6,6,4,6,6,6,6,6,7,6,6,6,5,5
251,98,88,83,73,64,56,57,62,83,99,99,74,72,72,83,86,82,84,73,71,65
252,2,2,1,1,0,0,1,1,2,2,1,1,-1,1,1,2,2,2,2,2,2
253,1,0,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1
254,18,15,17,26,22,23,15,23,17,20,19,17,25,20,24,14,16,22,22,35,29
