ID,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15
SAMPLE_00000,4,8,11,8,3,9,9,15,11,13,9,11,12,14,14,10,13,20,18,18,17
SAMPLE_00001,0,1,2,2,2,3,2,1,1,2,3,2,3,3,2,3,4,3,3,2,2
SAMPLE_00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00004,19,61,38,45,118,123,85,55,66,145,168,188,174,234,152,123,108,105,161,224,255
SAMPLE_00005,2,5,4,4,7,5,4,3,8,3,5,4,8,6,9,11,9,8,8,9,8
SAMPLE_00006,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
SAMPLE_00007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00013,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,2
SAMPLE_00014,3,3,1,0,0,0,0,3,4,5,4,3,2,1,4,6,2,0,0,0,0
SAMPLE_00015,1,0,0,1,0,1,0,1,1,2,3,1,0,0,0,0,0,1,1,0,1
SAMPLE_00016,0,1,0,0,0,3,2,1,0,0,0,1,3,1,0,0,0,0,1,0,3
SAMPLE_00017,6,6,3,11,19,23,28,5,25,19,21,33,34,46,32,31,31,38,41,37,44
SAMPLE_00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00020,2,0,23,9,10,0,4,18,0,0,0,0,9,0,7,0,11,13,0,0,1
SAMPLE_00021,11,0,0,0,1,9,19,25,17,5,12,7,10,12,14,5,15,15,14,14,20
SAMPLE_00022,6,12,11,20,22,24,19,21,23,34,30,18,16,18,31,22,21,26,28,19,27
SAMPLE_00023,1,1,5,6,6,6,4,8,7,4,7,2,3,5,8,5,6,7,4,5,4
SAMPLE_00024,43,80,83,101,87,86,100,166,106,151,151,107,76,146,147,156,137,186,200,164,191
SAMPLE_00025,227,224,333,248,231,139,235,238,219,256,236,147,143,143,244,284,178,198,122,12,182
SAMPLE_00026,0,21,26,18,30,42,22,22,24,20,49,30,33,29,32,33,48,51,68,53,54
SAMPLE_00027,11,15,12,25,18,16,16,11,15,9,20,18,10,17,14,12,12,18,26,10,16
SAMPLE_00028,29,34,38,43,22,17,20,33,52,51,37,24,22,26,45,49,38,27,39,36,29
SAMPLE_00029,59,48,70,89,67,79,77,88,68,76,94,80,94,100,104,92,99,95,78,65,85
SAMPLE_00030,0,7,6,9,14,12,6,6,5,8,7,14,12,11,5,1,9,9,16,12,4
SAMPLE_00031,22,26,25,12,29,13,24,37,53,31,37,37,52,59,68,55,37,36,31,51,41
SAMPLE_00032,5,6,13,9,17,16,12,11,12,11,10,11,7,9,12,10,11,14,18,11,9
SAMPLE_00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00034,2,0,19,23,41,60,61,60,49,20,44,46,51,67,91,108,93,85,95,80,121
SAMPLE_00035,6,14,16,20,27,26,28,41,31,39,38,33,46,43,37,37,29,33,40,45,30
SAMPLE_00036,131,120,150,110,138,123,183,188,161,153,132,165,140,183,167,142,129,146,150,123,153
SAMPLE_00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00039,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SAMPLE_00040,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMPLE_00041,3,2,5,3,4,6,4,6,3,5,2,3,4,5,4,5,6,5,5,5,3
SAMPLE_00042,2,2,2,1,1,2,2,3,4,4,2,2,2,2,2,2,3,3,2,2,2
SAMPLE_00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00044,46,56,77,66,55,49,27,31,46,48,70,53,36,10,38,35,23,57,43,0,21
SAMPLE_00045,10,7,8,13,19,20,17,18,13,18,14,15,10,9,14,14,20,15,18,13,17
SAMPLE_00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00047,2,2,1,2,4,5,4,5,5,5,5,4,6,7,11,8,8,10,8,10,7
SAMPLE_00048,13,8,12,12,14,14,17,19,11,12,11,15,15,13,19,9,13,13,17,14,21
SAMPLE_00049,1,4,0,3,6,8,3,2,6,0,9,6,8,11,11,11,11,9,10,11,13
SAMPLE_00050,3,2,3,1,3,3,2,0,3,8,4,6,2,7,4,5,4,4,3,2,6
SAMPLE_00051,342,613,454,446,493,457,401,546,703,547,606,484,466,530,523,587,587,613,686,632,591
SAMPLE_00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00054,1,1,4,0,4,4,3,5,6,7,9,8,5,4,4,4,2,4,7,7,4
SAMPLE_00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00057,28,139,143,144,189,163,154,133,178,179,210,210,185,133,142,144,163,194,160,135,102
SAMPLE_00058,2,0,1,0,4,3,5,6,5,1,6,5,5,7,9,5,11,7,11,10,10
SAMPLE_00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00060,72,43,68,24,56,59,68,49,55,52,54,30,65,27,66,51,64,44,66,66,50
SAMPLE_00061,3,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,3,2,3,3,3
SAMPLE_00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00063,1,0,0,0,1,0,2,3,0,1,0,2,0,1,4,2,1,2,1,1,2
SAMPLE_00064,27,5,38,43,18,12,32,62,64,75,61,105,33,42,56,55,98,65,90,53,30
SAMPLE_00065,22,24,33,30,28,10,11,13,36,45,28,26,12,16,23,29,27,27,27,4,0
SAMPLE_00066,4,6,11,11,11,13,7,10,8,13,15,14,10,5,7,5,12,9,8,6,6
SAMPLE_00067,2,2,3,2,2,2,3,4,6,4,3,1,3,3,4,2,2,2,3,4,4
SAMPLE_00068,1,1,2,1,2,1,1,1,2,2,2,2,3,2,2,2,2,3,2,2,1
SAMPLE_00069,3,2,4,4,4,7,3,4,3,4,3,3,5,2,4,3,4,5,5,7,6
SAMPLE_00070,6,9,9,6,3,3,5,9,9,10,9,6,12,9,10,10,7,6,4,7,3
SAMPLE_00071,4,12,6,12,20,16,22,15,19,25,27,25,11,14,7,22,9,9,17,22,30
SAMPLE_00072,4,5,3,4,1,3,4,3,8,10,11,11,6,7,10,14,15,11,10,5,8
SAMPLE_00073,0,2,8,4,6,14,12,7,12,8,13,12,12,8,10,16,18,19,19,15,18
