ID,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15
SAMPLE_00000,1,1,1,3,-2,0,0,-1,0,-1,3,1,0,2,1,1,2,3,1,2,1
SAMPLE_00001,0,1,2,2,2,1,1,1,1,1,2,1,0,1,1,1,2,2,1,1,2
SAMPLE_00002,1,1,1,1,3,2,1,2,1,1,2,2,2,2,4,2,2,2,2,3,2
SAMPLE_00003,1,2,2,3,7,4,1,4,2,2,3,4,5,5,8,4,3,3,4,6,5
SAMPLE_00005,0,1,-1,4,6,0,2,0,2,1,-1,7,1,3,4,1,-1,-1,0,5,3
SAMPLE_00006,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,1,1,1,1,1,1
SAMPLE_00007,0,1,1,1,2,1,0,1,1,1,1,1,1,2,2,1,1,1,1,2,2
SAMPLE_00011,2,3,4,4,11,6,2,6,3,3,5,6,8,8,13,6,5,5,6,9,8
SAMPLE_00013,0,0,1,1,2,1,0,1,0,0,1,2,1,1,2,1,0,0,1,2,2
SAMPLE_00017,-5,-4,-4,-1,7,6,6,-3,6,-2,-2,5,2,3,-3,7,3,0,-1,1,1
SAMPLE_00018,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
SAMPLE_00022,3,9,10,16,16,8,5,13,14,19,12,13,11,11,16,10,12,10,11,14,14
SAMPLE_00026,-2,-3,2,4,3,0,0,-1,1,-3,11,1,6,9,-4,1,12,14,20,12,10
SAMPLE_00030,-1,-6,3,-3,5,1,-4,1,-4,-3,2,4,2,-2,0,-3,2,-1,4,5,2
SAMPLE_00033,1,1,2,2,5,2,1,3,1,1,2,3,3,4,5,3,2,2,3,4,3
SAMPLE_00037,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
