ID,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15
SAMPLE_00004,9,150,30,69,-38,-63,11,-62,-57,-139,-4,95,89,340,172,302,66,83,70,235,481
SAMPLE_00008,27,30,33,35,37,38,39,41,42,43,44,44,45,45,47,48,50,50,51,52,52
SAMPLE_00009,28,32,35,37,39,40,41,43,45,45,47,47,48,48,50,51,52,53,54,54,55
SAMPLE_00010,123,134,152,167,184,179,181,192,190,197,198,205,204,213,226,217,228,227,238,234,238
SAMPLE_00012,8,9,10,10,10,11,11,12,12,12,13,13,13,13,14,14,14,14,15,15,15
SAMPLE_00014,118,173,102,124,90,107,137,234,295,212,195,157,142,144,178,240,176,221,197,178,154
SAMPLE_00015,49,57,65,73,69,69,70,73,81,92,102,94,90,87,87,88,94,100,95,98,96
SAMPLE_00016,77,112,91,92,78,116,142,136,148,126,149,142,169,176,163,192,176,202,172,158,165
SAMPLE_00019,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6
SAMPLE_00020,53,28,29,35,44,36,37,74,35,35,32,30,18,20,55,37,44,35,34,34,50
SAMPLE_00021,16,16,17,19,18,16,21,28,27,16,17,18,20,17,24,19,18,23,21,17,19
SAMPLE_00023,21,13,21,23,6,18,24,28,18,24,33,11,21,18,34,32,39,47,23,24,20
SAMPLE_00024,802,-314,-203,159,487,-423,-504,653,348,424,136,157,-174,657,2003,1182,483,40,-35,-461,-420
SAMPLE_00025,128,122,110,108,111,59,74,136,144,176,163,126,83,106,160,133,127,113,107,52,97
SAMPLE_00027,28,23,16,44,44,29,21,39,38,24,40,41,19,25,49,34,27,41,41,8,15
SAMPLE_00028,8,10,11,13,11,10,11,14,16,15,15,13,13,14,16,17,16,17,16,16,16
SAMPLE_00029,20,18,26,37,22,21,36,34,21,27,33,12,3,23,23,21,26,42,23,11,34
SAMPLE_00031,27,22,20,9,13,7,9,30,22,14,6,13,13,20,33,27,25,15,20,32,37
SAMPLE_00032,0,-18,111,73,222,99,58,36,107,127,-17,93,-19,-7,56,18,115,-72,96,-36,-24
SAMPLE_00034,15,12,12,11,9,18,13,22,15,8,5,11,25,26,36,37,37,24,21,28,25
SAMPLE_00035,21,21,26,24,15,24,33,41,46,45,43,26,27,31,43,38,36,38,27,27,30
SAMPLE_00036,497,498,401,341,236,250,443,529,453,359,341,386,397,591,468,384,243,365,454,396,508
SAMPLE_00038,11,12,13,14,15,15,16,16,17,17,18,18,18,18,19,19,20,20,20,21,21
SAMPLE_00039,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6
SAMPLE_00043,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
SAMPLE_00044,72,83,-62,-158,230,198,-30,-141,-168,-126,32,270,83,-57,32,16,-170,-221,-2,100,64
SAMPLE_00047,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
SAMPLE_00048,4,2,3,3,3,3,4,5,3,4,4,3,3,4,5,3,4,5,5,5,5
SAMPLE_00051,87,113,98,110,110,110,109,126,143,115,127,130,124,117,122,146,130,145,143,145,148
SAMPLE_00053,5,6,7,7,7,7,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10
SAMPLE_00055,3,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
SAMPLE_00056,4,5,5,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8
SAMPLE_00059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
SAMPLE_00063,23,14,21,23,23,25,28,46,23,34,27,26,28,24,34,25,40,32,27,28,37
SAMPLE_00064,15,16,21,20,21,22,25,27,26,31,28,28,27,27,28,28,33,29,30,31,34
SAMPLE_00065,32,24,24,17,37,-1,4,27,63,73,55,39,20,19,29,46,25,6,23,30,26
SAMPLE_00067,2,3,3,3,3,3,3,4,5,4,4,4,4,4,4,4,3,4,4,4,5
SAMPLE_00068,3,3,8,6,7,4,6,6,9,12,9,8,8,10,8,6,9,8,8,9,9
SAMPLE_00069,3,3,3,3,3,4,4,3,4,4,4,3,4,4,5,5,5,5,4,6,5
SAMPLE_00070,34,84,66,44,27,29,57,86,129,105,88,67,57,61,60,81,44,51,36,45,39
SAMPLE_00071,13,14,8,1,9,5,11,13,24,22,16,17,8,8,9,14,12,1,9,15,28
SAMPLE_00074,59,133,14,-24,-8,-91,0,24,133,71,31,21,-65,2,20,95,62,48,22,-25,16
SAMPLE_00075,15,17,19,20,21,21,22,23,24,24,25,25,26,26,27,27,28,28,29,29,30
SAMPLE_00077,17,13,9,17,14,11,31,42,39,20,11,14,12,36,52,42,24,10,11,13,30
SAMPLE_00078,18,21,50,45,-7,2,21,35,18,45,49,0,7,11,49,34,63,80,18,29,44
SAMPLE_00079,-2,3,2,1,2,5,10,3,7,6,1,2,5,7,4,13,16,12,9,10,12
SAMPLE_00080,82618,148195,150310,150704,54781,53844,97440,96178,44670,11293,27532,-7699,-29388,4919,65526,58899,37584,73271,-47475,-59642,-35344
SAMPLE_00081,1675,259,596,-1247,-1520,-1368,-763,894,-1350,-448,-1881,-1100,-359,249,1906,-387,351,-932,-938,-879,-133
SAMPLE_00082,75,29,23,35,36,-17,-1,11,-24,-2,1,-36,-76,-24,0,-13,-10,6,12,-23,32
SAMPLE_00083,12804,52300,48428,72941,30402,18901,34353,8465,11190,-18748,9012,-6214,-7981,13085,20463,12503,-2774,30876,-13014,-17275,-7920
SAMPLE_00084,-655,48,-868,504,-850,-2639,-503,2342,4259,2702,792,16,-1033,-72,592,764,-1675,-443,-591,239,-260
SAMPLE_00085,52558,-137,38694,1516,22207,-16169,26586,61819,12636,77280,42865,55496,-7896,12477,27446,-39863,20787,-6106,6136,-25645,26248
SAMPLE_00086,16428,37064,36636,48295,7311,-4429,13915,19719,16051,-1413,14119,-3071,-5147,10148,24538,26829,15090,42548,-476,-11870,-5441
SAMPLE_00087,855,1224,1422,1248,-338,-930,-248,1383,2862,1958,728,-536,-494,798,2193,2233,1053,-79,-959,-1149,-396
SAMPLE_00088,3,3,3,4,3,3,4,5,4,5,5,4,4,5,5,5,6,5,5,5,5
SAMPLE_00090,17,-11,9,-12,-4,-3,25,25,-3,19,-14,-10,-21,2,12,-4,24,3,11,0,6
SAMPLE_00091,7,13,18,18,17,18,33,24,26,28,32,29,43,57,49,33,31,38,41,43,45
SAMPLE_00092,1,44,26,15,-4,-21,21,11,36,-5,-2,-6,-1,35,43,78,52,33,13,-2,36
SAMPLE_00094,173,105,-340,-282,-180,-175,529,399,475,253,294,16,-226,158,-156,-170,-258,-388,-663,-445,143
SAMPLE_00095,10,-13,-6,-20,1,-18,8,34,6,16,-6,17,8,15,30,-8,2,-7,10,5,8
SAMPLE_00096,10655,3431,4670,3333,2297,-3452,1340,8944,261,3855,6165,5848,-896,2879,10321,-1145,789,-322,268,-5017,897
SAMPLE_00097,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7
SAMPLE_00098,15,17,19,20,21,21,22,23,24,24,25,25,26,26,27,27,28,28,29,29,30
SAMPLE_00099,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6
SAMPLE_00100,143175,6556,110750,27694,30665,-16652,71062,185689,56525,249562,171178,81823,-45680,23452,108659,-80322,69639,16935,-30577,-126391,-25990
SAMPLE_00104,5,6,6,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10
SAMPLE_00108,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
SAMPLE_00110,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
SAMPLE_00111,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SAMPLE_00112,5,6,7,7,7,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10
SAMPLE_00113,7,7,7,6,6,6,7,11,9,10,9,10,11,12,12,12,11,10,8,8,9
SAMPLE_00114,3,6,4,5,5,7,3,4,7,6,5,5,9,6,9,10,8,6,6,9,4
SAMPLE_00115,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8
SAMPLE_00116,93,64,98,18,14,30,52,76,-22,22,-45,-4,-56,27,94,85,51,-66,-42,-41,33
SAMPLE_00117,-6,0,23,9,15,6,8,7,11,28,9,17,17,16,8,-5,16,8,21,22,13
SAMPLE_00118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMPLE_00121,0,1,-1,-4,-3,2,0,1,1,0,-2,-2,6,1,1,0,0,0,2,10,2
SAMPLE_00122,8,5,12,9,13,7,8,8,5,10,7,13,8,9,15,9,19,12,17,6,8
SAMPLE_00123,4,2,5,4,4,3,5,6,4,5,6,7,7,7,9,7,8,8,5,1,4
SAMPLE_00125,5,6,7,7,7,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10
SAMPLE_00127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAMPLE_00128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
SAMPLE_00130,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2
SAMPLE_00131,1,3,2,3,1,0,3,4,8,4,4,2,5,8,8,9,4,6,4,4,4
SAMPLE_00132,1,1,1,1,0,0,2,2,3,1,1,1,1,2,2,2,1,2,2,2,2
SAMPLE_00133,4,4,2,0,-1,0,3,8,7,4,3,5,6,6,9,8,4,5,4,4,3
SAMPLE_00134,9,11,8,10,5,8,13,12,13,9,5,2,0,11,12,17,16,10,6,14,26
SAMPLE_00135,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
SAMPLE_00136,5,6,7,7,7,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10
SAMPLE_00137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
