ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,1,1,2,1,2,2,2,2,1,2,1,1,1,2,3,3,2,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,3,4,2,1,1,1,1,-1,1,-1,-2,-1,-1,0,0,3,0,-1,-2
5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0
9,-6,-6,-7,-7,-5,-2,-2,-3,0,-3,-2,-7,-3,-3,0,1,0,-1,-1,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,1,1,1,0,-1,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,0,-2,-1,-1,0,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-2,-2,-1,0
15,2,1,0,1,1,1,0,1,2,3,2,1,2,2,2,1,1,1,1,2,1
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9,10,16,7,3,-1,-3,-3,1,4,-1,-5,-6,-7,-7,-3,0,2,-1,0,-4
18,-2,-1,-6,-5,-13,-4,-4,1,-2,-3,-5,-8,-4,-1,-6,-8,-5,-5,-1,-3,1
19,-4,-4,-5,-1,0,-5,-3,-4,-3,-4,-2,-1,-5,-2,4,7,6,6,5,-2,-4
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2,1,1,1,1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,1,0,0,0
30,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,2,3,5,5,5,6,5,5,3,3,4,5,4,0,-2,-1,1,5,4
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,0,1,0,2,1,2,2,1,2,3,5,3,1,0,-1,-2,-1,-1,0,0
36,0,2,3,3,3,0,-1,-4,1,1,3,2,1,0,0,1,1,1,0,-1,-2
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,1,1,1,1,1,1,2,2,2,3,3,3,2,2,3,5,5,4,2,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-11,13,26,29,48,44,44,22,33,20,11,13,25,28,4,13,32,34,37,20,33
