ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,0,1,2,2,2,3,3,3,2,2,1,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,3,4,1,1,1,1,4,4,5,3,2,2,3,5,5,7,5,4,3
5,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,7,9,10,8,7,6,11,13,14,15,10,13,10,14,13,12,13,10,12,11
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,7,7,6,6,6,6,5,5,7,6,7,6,7,5,6,7,6,7,7,8
15,5,5,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4
16,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
17,8,11,12,6,5,6,6,11,13,14,9,8,8,6,11,13,12,7,8,9,7
18,4,7,7,6,9,11,11,15,18,14,13,9,10,10,13,16,15,15,13,14,12
19,0,3,6,8,7,4,3,4,4,6,6,6,5,4,5,7,11,14,15,10,7
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
